OSM,Gottingen,Change
Carl-Hasselbach-Straße,Carl-Mahr-Straße,False
Anlaufweg,Windausweg,False
Elsbeerring,Weperring,False
Rischenweg,Eschenweg,False
Bovender Straße,Weender Straße,False
Pfingstanger,Am Pfingstanger,False
Holzweg,Hainholzweg,False
Vom-Stein-Straße,Von-Siebold-Straße,False
Am Diemardener Thie,Am Geismar Thie,False
Brandenburger Straße,Kreuzburger Straße,False
In den Wiesen,An den Weiden,False
Siekhöhenallee/Siekweg,Siekhöhenallee,False
Erdbrustweg,Ederstieg,False
Zehntenstraße,Wendenstraße,False
Roringer Stieg,Roringer Winkel,False
Reekenweg,Reinkeweg,False
Heinrich-Albert-Zachariä-Bogen,Heinrich-A.-Zachariä-Bogen,False
Sonnenstein,Sonnenstieg,False
Osterbergstraße,Oesterleystraße,False
Harster Straße,Düstere Straße,False
Zum Hopfenberg,Zum Kükenberg,False
Schlehdornweg,Am Schlehdorn,False
Ruprechtweg,Burckhardtweg,False
Osterberg,Asternweg,False
Hinter dem Hamberge,Unterm Hoppenberge,False
Mauerhof,Meierhof,False
Dransfelder Rampe,Dransfelder Straße,False
Heinrich-Deppe-Weg,Heinrich-Düker-Weg,False
Gottfried-Smidt-Straße,Goldschmidtstraße,False
In der Laake,In der Klappe,False
Weingartenstraße,Wendenstraße,False
Zum Lengder Grund,Zum Leineufer,False
Am Freibad,Am Groner Freibad,False
Friedebreite,Weidenbreite,False
Ulmenstraße,Mühlenstraße,False
Alte Dorfstraße,Untere Dorfstraße,False
Thieplatz,Theaterplatz,False
Mengershäuser Weg,Hetjershäuser Weg,False
Alte Landstraße,Holtenser Landstraße,False
Hakenborner Weg,Waldenburger Weg,False
An den Rotten,An der Lutter,False
Klostergut,Klosterweg,False
Potsdamer Straße,Rote Straße,False
Hempelgasse,Holzgasse,False
Auf dem Anger,Auf dem Hagen,False
Hopfenstieg,Höfestieg,False
Siedlungsweg,Siekweg,False
Sonnenberg,Sonnenstieg,False
Waterloostraße,Wagnerstraße,False
Gehrenweg,Gleichenweg,False
Wattenbergsweg,Hardenbergweg,False
Hohes Feld,Hohe Linde,False
Hinter dem Teiche,Hinterm Knick,False
Walter-Engelhardt-Weg,Philippine-Engelhardt-Weg,False
Eichenweg,Eschenweg,False
Kempelbergstraße,Keplerstraße,False
Mühlenweg,Mühlenbergsweg,False
Zur Lemse,Zur Quelle,False
Im Kleie,Im Kolke,False
Auf dem Kirchberg,Auf dem Lohberge,False
Mahntweg,Mohnstieg,False
Raseanger,Reesenanger,False
Ahornallee,Ahornsteg,False
Augustiner Straße,Augustinerstraße,True
Am Kellberg,Am Menzelberg,False
Paradiesweg,Primelweg,False
Kramberg,Brombeerweg,False
Hinter den Wiesen,Unter den Linden,False
K.-Scheele-Weg,Schneidemühler Weg,False
An den Teichen,An den Weiden,False
Tränkegasse,Bäckergasse,False
Zur Rasemühle,Zur Scharfmühle,False
Fehrlingser Weg,Meininger Weg,False
Auf dem Strautberg,Auf dem Steinacker,False
Steffensweg,Steinweg,False
Duderstädter Weg,Dingelstädter Weg,False
Obere Strautweg,In der Straut,False
Ettbergweg,Pütterweg,False
Kornmarkt-Passage,Kornmarkt,False
Wartbergstraße,Wagnerstraße,False
Ketzhagen,Kreuzanger,False
Vor dem Warteberge,Vor dem Berge,False
Firstweg,Försterweg,False
An der Stupe,An der Seune,False
Jendelstraße,Zindelstraße,False
Am Heimchen Stein,Am Weißen Steine,False
Grünberger Straße,Groner Straße,False
Wilhelm-Evers-Straße,Wilhelm-Berg-Straße,False
Strautweg,Brauweg,False
Neue Heerstraße,Weserstraße,False
Helleweg,Hölleweg,False
Erbecksweg,Arbecksweg,False
Weissdornweg,Weißdornweg,False
Auf dem Plane,Auf dem Paul,False
An der Dehne,An der Seune,False
Herrmann-Hanker-Straße,Hermann-Hanker-Straße,True
Schmiedeweg,Schildweg,False
Im Erbecke,Im Körbchen,False
Am Thieberg,Thieberg,False
Zierkirschenallee,Siekhöhenallee,False
Mackenröder Stieg,Mackenröder Spitze,False
Heisterweg,Ginsterweg,False
