OSM,Gottingen
Auf dem Plane,Auf dem Paul
An der Dehne,An der Seune
Herrmann-Hanker-Straße,Hermann-Hanker-Straße
Schmiedeweg,Schildweg
Im Erbecke,Im Körbchen
Am Thieberg,Thieberg
Zierkirschenallee,Siekhöhenallee
Mackenröder Stieg,Mackenröder Spitze
Heisterweg,Ginsterweg
Oberdorf,Über dem Dorfe
Grabenbreite,Traubenbreite
Hohe-Rott-Weg,Sophie-Kunert-Weg
Lindenhof,Lehnshof
Fahlenbuschstraße,Blumenbachstraße
Dorfstraße,Dürrstraße
Im Sieke,Im Beeke
Am Junkernberge,Am Winterberg
Dermeckestraße,Merkelstraße
Olenhusener Landstraße,Reinhäuser Landstraße
Heinestraße,Leinestraße
Thorner Straße,Groner Straße
Über der Lehmkuhle,In der Lehmkuhle
Aeckernweg,Zedernweg
Brennewiensgasse,Brunnengasse
Hainbergsweg,Hardenbergweg
Am roten Berge,Am Warteberge
Taubenbrunnen,Traubenbreite
Kleine Grundstraße,Klinkerfuesstraße
Alte Dorfstrasse,Untere Dorfstraße
Thiegasse,Schildgasse
Kleebreite,Kommendebreite
Göttingen Ost,Böttingerstraße
Vorderdorfstraße,Roedererstraße
Obere Straße,Oberstraße
Mackenröder Trail,Mackenröder Spitze
Haselweg,Hasenweg
Hinter den Hagen,Unterm Hagen
Mittelbergstraße,Mittelstraße
In der Kamplage,In der Klappe
Am Rieper Berg,Roter Berg
Hinter den Höfen,Über den Höfen
Maienweg,Salinenweg
Gatzenborn,Am Stratenborn
An der Bahn,An der Seune
Taubenbrunnenweg,Tannenweg
Liegnitzer Straße,Chemnitzer Straße
Kampweg,Kaakweg
Obere Kirchstraße,Kirchstraße
Kleperstieg,Kleestieg
Am Kampe,Am Dörpe
Maschweg,Maschmühlenweg
Grütterstraße,Gartenstraße
Hohlweg,Kohlweg
An der Grantbreite,In der Querbreite
Goetheallee,Goethe-Allee
